t,L_sum,L_0,L_1,L_2,L_3,L_4,L_5,L_6,L_7,L_8,L_9
4641.588833612777,2.382884767419696e+40,9.803344977057517e+39,3.679339650772441e+40,2.382884767419696e+40,2.382884767419696e+40,2.382884767419696e+40,2.382884767419696e+40,2.382884767419696e+40,2.382884767419696e+40,2.382884767419696e+40,2.382884767419696e+40
5274.9970637026145,2.219902061266658e+40,1.0482297192244434e+40,4.2216147293001503e+40,2.0639110883304313e+40,2.219902061266658e+40,2.219902061266658e+40,2.219902061266658e+40,2.219902061266658e+40,2.219902061266658e+40,2.219902061266658e+40,2.219902061266658e+40
5994.8425031894085,2.1618422188149294e+40,1.11685368366234e+40,4.749898421029377e+40,1.8019028747574759e+40,2.1618422188149294e+40,2.1618422188149294e+40,2.1618422188149294e+40,2.1618422188149294e+40,2.1618422188149294e+40,2.1618422188149294e+40,2.1618422188149294e+40
6812.920690579608,2.1264201066647796e+40,1.185742090354942e+40,5.262818642480588e+40,1.586709629699996e+40,2.1264201066647796e+40,2.1264201066647796e+40,2.1264201066647796e+40,2.1264201066647796e+40,2.1264201066647796e+40,2.1264201066647796e+40,2.1264201066647796e+40
7742.63682681127,1.9135245064480914e+40,1.254406239391516e+40,5.758896362505991e+40,1.4094585060187296e+40,2.1092332389168694e+40,1.9135245064480914e+40,1.9135245064480914e+40,1.9135245064480914e+40,1.9135245064480914e+40,1.9135245064480914e+40,1.9135245064480914e+40
8799.225435691065,1.591658633638494e+40,1.3223389197663054e+40,6.2365573392507e+40,1.263175041956424e+40,2.1068301537331008e+40,1.5869551472019783e+40,1.591658633638494e+40,1.591658633638494e+40,1.591658633638494e+40,1.591658633638494e+40,1.591658633638494e+40
10000.0,3.6537663863993114e+40,1.389020475355717e+40,6.694151696870828e+40,1.1423983441031286e+40,2.1162013467061117e+40,1.3355500025081919e+40,3.6537663863993114e+40,3.6537663863993114e+40,3.6537663863993114e+40,3.6537663863993114e+40,3.6537663863993114e+40
11364.636663857242,5.181429507450486e+40,1.4539250287688837e+40,7.129975579033489e+40,1.0427727860263681e+40,2.1346877819354777e+40,1.1372293579206335e+40,5.181429507450486e+40,5.181429507450486e+40,5.181429507450486e+40,5.181429507450486e+40,5.181429507450486e+40
12915.496650148827,6.3811010413224735e+40,1.5165269294295423e+40,7.542294965555363e+40,9.60761245753952e+39,2.1599442314529527e+40,9.781450177064106e+39,6.3811010413224735e+40,6.3811010413224735e+40,6.3811010413224735e+40,6.3811010413224735e+40,6.3811010413224735e+40
14677.992676220676,7.362556853298396e+40,1.5763076073183143e+40,7.929372657464692e+40,8.93447990186511e+39,2.1899011413340206e+40,8.492496283363352e+39,7.362556853298396e+40,7.362556853298396e+40,7.362556853298396e+40,7.362556853298396e+40,7.362556853298396e+40
16681.005372000556,8.184850864103861e+40,1.6327631656332825e+40,8.289500181087219e+40,8.384009077390971e+39,2.222730847006842e+40,7.442211197087261e+39,8.184850864103861e+40,8.184850864103861e+40,8.184850864103861e+40,8.184850864103861e+40,8.184850864103861e+40
18957.356524063754,8.882708634420613e+40,1.6854132379652127e+40,8.621037393187623e+40,7.935739701360259e+39,2.256821891258932e+40,6.584147403374339e+39,8.882708634420613e+40,8.882708634420613e+40,8.882708634420613e+40,8.882708634420613e+40,8.882708634420613e+40
21544.346900318822,9.477970101063972e+40,1.73381185858665e+40,8.922463859959993e+40,7.572376481752077e+39,2.2907625646689917e+40,5.882936923286779e+39,9.477970101063972e+40,9.477970101063972e+40,9.477970101063972e+40,9.477970101063972e+40,9.477970101063972e+40
24484.36746822229,9.98511165779976e+40,1.777561307428732e+40,9.19244743159705e+40,7.279290445816918e+39,2.323333934321568e+40,5.3109695021801174e+39,9.98511165779976e+40,9.98511165779976e+40,9.98511165779976e+40,9.98511165779976e+40,9.98511165779976e+40
27825.59402207126,1.041421617884459e+41,1.8163300288963959e+40,9.4299363762004e+40,7.044158817743162e+39,2.3535123810560576e+40,4.846337428564106e+39,1.041421617884459e+41,1.041421617884459e+41,1.041421617884459e+41,1.041421617884459e+41,1.041421617884459e+41
31622.776601683792,1.0772738237323706e+41,1.8498754899102312e+40,9.634281040676012e+40,6.856697215794193e+39,2.380481278129251e+40,4.4714884928501336e+39,1.0772738237323706e+41,1.0772738237323706e+41,1.0772738237323706e+41,1.0772738237323706e+41,1.0772738237323706e+41
35938.13663804626,1.1066667087679148e+41,1.8780722166682331e+40,9.805387157573736e+40,6.708440760954081e+39,2.4036502465553007e+40,4.1722739512874016e+39,1.1066667087679148e+41,1.1066667087679148e+41,1.1066667087679148e+41,1.1066667087679148e+41,1.1066667087679148e+41
40842.38652674518,1.1301375953570758e+41,1.9009436197811996e+40,9.943895332428884e+40,6.592541026710271e+39,2.4226792456530866e+40,3.937208786967534e+39,1.1301375953570758e+41,1.1301375953570758e+41,1.1301375953570758e+41,1.1301375953570758e+41,1.1301375953570758e+41
46415.888336127726,1.1482286522595918e+41,1.9186932734403714e+40,1.0051364812746941e+41,6.503532412472171e+39,2.4375003433387934e+40,3.756816762832974e+39,1.1482286522595918e+41,1.1482286522595918e+41,1.1482286522595918e+41,1.1482286522595918e+41,1.1482286522595918e+41
52749.97063702609,5.369050738084185e+40,1.9317272980000004e+40,1.0130416557204014e+41,6.437040142855992e+39,2.4483267059879377e+40,3.6229936606147585e+39,1.1615381435385466e+41,5.369050738084185e+40,5.369050738084185e+40,5.369050738084185e+40,5.369050738084185e+40
59948.42503189409,8.713417542549308e+40,1.9406553004294108e+40,1.0184765061597844e+41,6.389421275114095e+39,2.4556345844813545e+40,3.528382320239533e+39,1.1707520093295716e+41,2.9274828308299027e+40,8.713417542549308e+40,8.713417542549308e+40,8.713417542549308e+40
68129.20690579608,9.150817136613283e+40,1.9462558502479275e+40,1.0219055609991078e+41,6.357378074984961e+39,2.460104930474864e+40,3.465833854734656e+39,1.1766462583252744e+41,1.746234773882116e+40,9.368573430067899e+40,9.150817136613283e+40,9.150817136613283e+40
77426.36826811278,8.799326614897674e+40,1.949398172480509e+40,1.0238449818212383e+41,6.33764560844569e+39,2.462520783359564e+40,3.428110859035025e+39,1.1800507476681844e+41,1.1084521804101821e+40,9.607909339323469e+40,5.388863066917952e+40,8.799326614897674e+40
87992.25435691074,9.667924315068434e+40,1.950928125197517e+40,1.0247991186279231e+41,6.32689278065309e+39,2.463636545631806e+40,3.4080053662615496e+39,1.1817743470513232e+41,7.641113302392998e+39,9.714593868076524e+40,4.42340705422131e+40,9.667924315068434e+40
100000.0,9.937750544120693e+40,1.9515500546712521e+40,1.0251920306250526e+41,6.321921195213616e+39,2.4640583087384465e+40,3.3989099504159374e+39,1.1825107917111745e+41,5.906638031570104e+39,9.76495437390247e+40,4.0209541149848134e+40,9.937750544120693e+40
113646.36663857242,1.0046338452816523e+41,1.9517510093578908e+40,1.0253209955859635e+41,6.320070238127982e+39,2.4641816036627863e+40,3.395590689310303e+39,1.1827638507217598e+41,5.1416710454422324e+39,9.787859765248681e+40,3.846383198589887e+40,1.0046338452816523e+41
129154.96650148826,3.1662651028003985e+40,1.951799499402513e+40,1.0253527023108903e+41,6.319550182139146e+39,2.4642074465450903e+40,3.394673954589056e+39,1.1828296283133709e+41,4.865925787474758e+39,9.797018298858835e+40,3.7781083510480286e+40,1.0089461508886358e+41
146779.92676220674,9.616774615344947e+39,1.9518075678046064e+40,1.0253580964652903e+41,6.319448441423908e+39,2.4642109352027965e+40,3.39449705998986e+39,1.1828415926886192e+41,4.790980677543761e+39,9.799925887471318e+40,3.756448602515852e+40,1.0104030990535432e+41
166810.0537200059,4.089142564454012e+39,1.9518083954177257e+40,1.0253586660607926e+41,6.319435878614381e+39,2.464211179473479e+40,3.3944754701326693e+39,1.1828429672300624e+41,4.777054524063333e+39,9.800578364186063e+40,3.751444028526409e+40,1.010771005779312e+41
